text,label
فرصت سرمایه‌گذاری استثنایی، سرمایه خود را در عرض یک ماه دو برابر کنید بدون هیچ ریسکی. جهت مشاوره رایگان با شماره 02182475098 تماس بگیرید، ظرفیت محدود است.,spam
فرصت سرمایه‌گذاری استثنایی، سرمایه خود را در عرض یک ماه دو برابر کنید بدون هیچ ریسکی. جهت مشاوره رایگان با شماره 0937454081 تماس بگیرید، ظرفیت محدود است.,spam
اطلاعیه فوری، بسته پستی شما به‌دلیل عدم پرداخت عوارض گمرکی در انبار متوقف شده است. جهت آزادسازی مرسوله همین امروز با شماره 0932453962 تماس بگیرید.,spam
با احترام، مرسوله‌ی پستی شما به مقصد رسیده و آماده‌ی تحویل است. وضعیت و کد رهگیری: example.com/track/50615,ham
فرصت عضویت در تیم معامله‌گری ارز دیجیتال با سود روزانه تضمینی. جهت دریافت اطلاعات بیشتر همین حالا با شماره 0932171218 تماس بگیرید، ظرفیت محدود است.,spam
همکاری در طرح بازاریابی هرمی با سود تضمینی ماهانه، بدون نیاز به سرمایه اولیه بالا. برای شرکت در جلسه توجیهی رایگان با شماره 0917844947 تماس حاصل فرمایید.,spam
فرصت سرمایه‌گذاری استثنایی، سرمایه خود را در عرض یک ماه دو برابر کنید بدون هیچ ریسکی. جهت مشاوره رایگان با شماره 0908617381 تماس بگیرید، ظرفیت محدود است.,spam
مشتری گرامی، فاکتور خرید شما به مبلغ 10000 هزار تومان از بانک ملت صادر شد. برای مشاهده و دانلود فاکتور رسمی به لینک زیر مراجعه کنید: webinar-example.com/invoices/83960 با تشکر از خرید شما.,ham
سلام، جلسه‌ی دفاع پایان‌نامه‌ی کاوه صادقی در دانشگاه امیرکبیر برای یکشنبه ساعت ۲ بعدازظهر تایید شد. لینک اتاق مجازی برای اعضای غایب: university.ac.ir/vc/room-1851 موفق باشید.,ham
فرصت سرمایه‌گذاری استثنایی، سرمایه خود را در عرض یک ماه دو برابر کنید بدون هیچ ریسکی. جهت مشاوره رایگان با شماره 0937054579 تماس بگیرید، ظرفیت محدود است.,spam
استخدام فوری، درآمد روزانه تضمینی 8000 هزار تومان، بدون نیاز به مدرک و سابقه کار. جهت هماهنگی مصاحبه با شماره 02175007200 تماس بگیرید.,spam
با سلام، پیرو ثبت‌نام شما در دانشگاه امیرکبیر، لینک دسترسی به پنل کاربری فعال شد: webinar-example.com/dashboard/95163 در صورت بروز مشکل با پشتیبانی تماس بگیرید.,ham
وام فوری بدون ضامن و بدون چک تا سقف 100 میلیون تومان، واریز در همان روز. جهت ثبت درخواست با شماره 0918750676 تماس بگیرید، شرایط ویژه فقط تا پایان ماه.,spam
با احترام، مرسوله‌ی پستی شما به مقصد رسیده و آماده‌ی تحویل است. وضعیت و کد رهگیری: shop-example.ir/track/95811,ham
با سلام. مبلغ 2000 هزار تومان به‌اشتباه به شماره حساب شما واریز شده. لطفاً جهت هماهنگی بازگشت وجه در اسرع وقت با شماره 0992914064 تماس بگیرید. عدم پیگیری ممکن است مشکل قانونی ایجاد کند.,spam
دعوت به همکاری در فروش طلا و جواهر با سود بالا و بدون سرمایه، فقط ثبت‌نام تلفنی. جهت هماهنگی با شماره 0914415140 تماس بگیرید.,spam
همسر شما در یک شرایط اضطراری قرار گرفته و نیاز فوری به وجه نقد دارد. جهت اطلاعات بیشتر و کمک فوری با شماره 0918789116 تماس بگیرید.,spam
خواهر شما در یک شرایط اضطراری قرار گرفته و نیاز فوری به وجه نقد دارد. جهت اطلاعات بیشتر و کمک فوری با شماره 0992530793 تماس بگیرید.,spam
با سلام، پیرو ثبت‌نام شما در دانشگاه شریف، لینک دسترسی به پنل کاربری فعال شد: hr-example.com/dashboard/24086 در صورت بروز مشکل با پشتیبانی تماس بگیرید.,ham
فرصت عضویت در تیم معامله‌گری ارز دیجیتال با سود روزانه تضمینی. جهت دریافت اطلاعات بیشتر همین حالا با شماره 0936137284 تماس بگیرید، ظرفیت محدود است.,spam
سلام، دعوت‌نامه‌ی وبینار «طراحی رابط کاربری» برای یکشنبه هفته‌ی آینده ارسال شد. ثبت‌نام رایگان از لینک زیر: webinar-example.com/register/45942 این جلسه ضبط هم می‌شود.,ham
