text,label
tabrik! shoma barande 50 million toman shodid. baraye daryaft click konid.,spam
forush vizhe! 70 darsad takhfif faghat ta emshab. hamin alan sefaresh bedid.,spam
"kasbe daramad az internet bedoone sarmaye! sabte nam rayegan, zarfiat mahdood.",spam
jayeze bozorge ghore keshi be shomare shoma taalogh gereft. baraye daryaft ru link bezanid.,spam
"vam-e fori bedoone zamin, ta 50 million toman, hamin emruz sabt nam konid.",spam
"hesabe bankiye shoma mashkuk shode, baraye tayid hoviat ba in shomare tamas begirid.",spam
sarmaye gozari mota'men ba soode 30 darsad mahane. moshavere rayegan.,spam
"forsat-e talaee! bedoone sarmaye, dar khane pool dar biyarid. hamin hala sabt nam konid.",spam
"gooshi iphone jayeze gereftid, baraye tahvil shomare karte bank ro vared konid.",spam
"package internet-e shoma tamoom shode, baraye tamdid in link ro baz konid.",spam
"bank markazi elam kard hesabe shoma jayeze gerefte, sari' eghdam konid vagarna bastreh mishe.",spam
"baraye laghve eshterak ya daryafte jayeze fori tamas begirid, forsat mahdood ast.",spam
"moamele arz digital ba soode ruzane tazmini, hamin alan ozv shid, ja khali nadarim.",spam
"webinar rayegan amoozeshe daramade dolari, link sabt nam paeen ast, faghat emrooz.",spam
"cheragh sabz baraye vam bedoone zemanat roshan shode, sari eghdam konid ke forsat az dast nare.",spam
"khastegar-e sarmaye gozar hastim, faghat 500 hezar toman avalie kafie, hamin emrooz start konid.",spam
"codeye takhfif-e vizhe faghat baraye 24 saat fa'al ast, az dast nadid.",spam
"sherkat-e ma be tor mostaghim az kargozari kar mikone, soode ma bishtar az bank ast, tamas begirid.",spam
"in link ro baz konid ta jayeze-ye ghore-keshi Nowruz ro daryaft konid, mahdodiat zamani darad.",spam
"1000 nafar avval sabt nam konand, hadiye vije daryaft mikonand, link paeen.",spam
salam khoobi? farda saate chand jalase darim?,ham
"man alan miram khune, farda mibinamet dar daneshgah.",ham
chetori? faghat khastam bebinam gozareshe hafte ro ferestadi ya na.,ham
"salam ostad, nomre proje man sabt nashode, mishe check konid?",ham
"ok, gharardad ro emza kardam, alan barat mifrestam.",ham
"hala vaghte nadaram, ba'dan sohbat mikonim khob?",ham
"in hafte niaz be komaket daram, mishe biai daftar?",ham
"khoobam mersi, to chetori? khanevade khoobe?",ham
faramoosh nakon ke jalase-ye farda ro reschedule kardim.,ham
"man ke residam daftar, kelid kojast?",ham
"raftam khune, ye chizi khordam, ta akhare shab bidaram baraye kar.",ham
"salam khahesh mikonam file ro barresi konid, mamnun misham.",ham
faghat mikhastam begam mersi az rahnamayie dirooz.,ham
"salam khanoome ahmadi, mishe emruz jalase ro 2 saat aghab bendazim?",ham
"raftam bimarestan vase visit, farda miam sar kar.",ham
"daramade in mahe kheili kam bud, bayad barnamerizi konim baraye mahe ba'd.",ham
"gozareshe project ro emruz mifrestam khedmatetun, ye seri soalat daram.",ham
"bache-ha, farda kelas nadarim, ostad khabar dad kansel shode.",ham
mamnun baabate zahmati ke keshidi baraye taeeni jalase.,ham
"salam aziz, tolladet mobarak, omidvaram sale khoobi dashte bashi.",ham
"emruz kar ziad bud, felan naresidam email-a ro check konam.",ham
"bebakhshid dir javab dadam, gooshim khamoosh bud.",ham
"farda saate 9 dar daftar hastam, agar kari dashti khabar bede.",ham
"in gozaresh ro barresi kon, agar eshkali dasht behem begoo.",ham
"che khabar? moddate ke khabari nadadi, hamechi khoobe?",ham
